Date,Adj Close,Close,High,Low,Open,Volume,Company,Ticker
2023-01-02,341.1396789550781,344.20001220703125,367.8999938964844,344.20001220703125,367.6000061035156,82165,Sartorius AG,SRT3.DE
2023-01-03,344.9059143066406,348.0,356.1000061035156,342.29998779296875,342.29998779296875,77620,Sartorius AG,SRT3.DE
2023-01-04,357.790283203125,361.0,361.20001220703125,348.6000061035156,350.0,70308,Sartorius AG,SRT3.DE
2023-01-05,366.1156311035156,369.3999938964844,371.6000061035156,360.0,360.1000061035156,76012,Sartorius AG,SRT3.DE
2023-01-06,359.67340087890625,362.8999938964844,371.5,356.0,371.0,86760,Sartorius AG,SRT3.DE
2023-01-09,380.6849060058594,384.1000061035156,384.8999938964844,363.20001220703125,365.1000061035156,87364,Sartorius AG,SRT3.DE
2023-01-10,386.2351379394531,389.70001220703125,392.6000061035156,376.79998779296875,378.0,71107,Sartorius AG,SRT3.DE
2023-01-11,402.5884094238281,406.20001220703125,411.3999938964844,391.3999938964844,391.79998779296875,125217,Sartorius AG,SRT3.DE
2023-01-12,400.9035339355469,404.5,409.20001220703125,397.5,405.79998779296875,88926,Sartorius AG,SRT3.DE
2023-01-13,411.70660400390625,415.3999938964844,417.20001220703125,404.1000061035156,406.0,88158,Sartorius AG,SRT3.DE
2023-01-16,411.2110595703125,414.8999938964844,430.1000061035156,414.8999938964844,417.0,73989,Sartorius AG,SRT3.DE
2023-01-17,404.5706481933594,408.20001220703125,412.5,400.6000061035156,412.0,71957,Sartorius AG,SRT3.DE
2023-01-18,403.2821960449219,406.8999938964844,412.5,404.79998779296875,409.1000061035156,55559,Sartorius AG,SRT3.DE
2023-01-19,393.27197265625,396.79998779296875,405.70001220703125,395.0,405.0,52060,Sartorius AG,SRT3.DE
2023-01-20,397.8310852050781,401.3999938964844,403.6000061035156,394.79998779296875,401.70001220703125,56707,Sartorius AG,SRT3.DE
2023-01-23,417.05859375,420.79998779296875,420.79998779296875,399.20001220703125,404.3999938964844,76445,Sartorius AG,SRT3.DE
2023-01-24,399.4168701171875,403.0,422.6000061035156,398.3999938964844,420.8999938964844,119518,Sartorius AG,SRT3.DE
2023-01-25,403.8768615722656,407.5,409.3999938964844,395.29998779296875,402.6000061035156,84558,Sartorius AG,SRT3.DE
2023-01-26,430.0421142578125,433.8999938964844,441.5,420.29998779296875,425.0,203469,Sartorius AG,SRT3.DE
2023-01-27,430.0421142578125,433.8999938964844,433.8999938964844,433.8999938964844,433.8999938964844,0,Sartorius AG,SRT3.DE
2023-01-30,412.1030578613281,415.79998779296875,420.3999938964844,407.29998779296875,416.0,80435,Sartorius AG,SRT3.DE
2023-01-31,406.6519470214844,410.29998779296875,414.79998779296875,399.8999938964844,412.0,83565,Sartorius AG,SRT3.DE
2023-02-01,413.7879333496094,417.5,420.5,409.70001220703125,412.29998779296875,77226,Sartorius AG,SRT3.DE
2023-02-02,446.59368896484375,450.6000061035156,450.6000061035156,421.79998779296875,422.1000061035156,159474,Sartorius AG,SRT3.DE
2023-02-03,455.61273193359375,459.70001220703125,459.70001220703125,439.5,447.0,112972,Sartorius AG,SRT3.DE
2023-02-06,461.7575988769531,465.8999938964844,471.70001220703125,456.6000061035156,459.8999938964844,106115,Sartorius AG,SRT3.DE
2023-02-07,453.5314025878906,457.6000061035156,467.6000061035156,452.5,465.8999938964844,69876,Sartorius AG,SRT3.DE
2023-02-08,441.5389709472656,445.5,468.8999938964844,445.5,463.79998779296875,76598,Sartorius AG,SRT3.DE
2023-02-09,435.79058837890625,439.70001220703125,449.6000061035156,437.5,448.20001220703125,76559,Sartorius AG,SRT3.DE
2023-02-10,434.7994689941406,438.70001220703125,444.3999938964844,430.1000061035156,435.70001220703125,62679,Sartorius AG,SRT3.DE
2023-02-13,442.926513671875,446.8999938964844,446.8999938964844,434.29998779296875,438.8999938964844,71492,Sartorius AG,SRT3.DE
2023-02-14,435.79058837890625,439.70001220703125,455.1000061035156,435.5,445.70001220703125,64513,Sartorius AG,SRT3.DE
